,ACO_ID,ACO_Name,ACO_State,Agree_Type,Agreement_Period_Num,Initial_Start_Date,Current_Start_Date,Current_Track_1,Current_Track_2,Current_Track_3,Current_Track_1_Plus,Current_BASIC_A,Current_BASIC_B,Current_BASIC_C,Current_BASIC_D,Current_BASIC_E,Current_ENHANCED,Risk_Model,Assign_Type,Adv_Pay,AIM,SNF_Waiver,N_AB,Sav_Rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,DisAdj,EarnSaveLoss,DisAffQual,Met_QPS,Report_WI,Report_eCQM,Report_CQM,Report_Inc,QualScore,Recvd30p,PosRegAdj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,MaxShareRate,FinalShareRate,RevLossLimit,Rev_Exp_Cat,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,P_SNF_ADM,SNF_LOS,SNF_PayperStay,N_CAH,N_FQHC,N_RHC,N_ETA,N_Hosp,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,Perc_Dual,Perc_CovDiag,Perc_CovEpisode,Perc_LTI,CAHPS_1,CAHPS_2,CAHPS_3,CAHPS_4,CAHPS_5,CAHPS_6,CAHPS_7,CAHPS_11,CAHPS_9,CAHPS_8,Measure_479,Measure_MCC1,QualityID_318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_134_eCQM-CQM,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_001_eCQM-CQM,QualityID_236_WI,QualityID_236_eCQM-CQM,lat,long,ACO_identifier
52,A1596,"Accountable Care Coalition of Georgia, LLC.","GA, AL, FL",Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,0,1,0,0,0,Two-Sided,Retrospective,0,0,0,"6,409",4.90%,0.00%,"2,994,258","2,994,258",,"1,467,186",1,1,1,0,0,0,82.28%,0,1,"9,944","9,945","61,087,244","58,092,986",,,50.00%,50.00%,1,Low Revenue,"64,013","8,102","10,039","7,100","75,303","8,141","10,926","7,330","72,648","8,351","11,255","8,073","79,152","8,132","10,722","7,504","9,457",0.979,0.9,0.784,0.897,0.921,0.88,0.784,0.89,0.941,0.844,0.775,0.88,0.946,0.799,0.719,0.85,161,"3,193","1,347","3,850","6,143",112,"1,919",870,"3,243","2,369","2,750",994,296,"3,463","2,946","4,253","1,830",43,146,7,130,"2,771","2,276",51,313,140,186,420,"2,635","2,818",240,407,294,276,240,2,14,20,849,192,586,172,"8,908",383,"3,370","1,129","4,026",29,25,"13,983",0,99,0,0,0,0,114,50,166,23,0,30.81%,7.47%,2.48%,0.81%,81.98,92.47,89.43,84.21,57.14,59.02,75.73,20.73,88.06,85.52,,38.35,91.84,54.75,88,85.11,,45.35,52.06,84.58,14.29,16.31,,70.07,,29.7249004,-95.4569104,
53,A1617,"Northern Ohio Medical Specialists, LLC",OH,Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,0,1,0,0,0,Two-Sided,Retrospective,1,0,0,"9,239",3.11%,1.00%,"2,921,354","2,921,354",,"1,431,464",1,1,1,0,0,0,97.09%,0,1,"10,440","10,352","93,874,435","90,953,081",0,0,50.00%,50.00%,1,Low Revenue,"76,000","8,989","16,133","8,926","88,182","9,486","15,557","9,375","100,310","8,126","16,681","9,362","80,183","8,875","17,764","9,515","10,115",1.096,1.074,1.199,1.036,1.077,1.045,1.141,1.043,1.118,0.988,1.146,1.024,1.083,0.984,1.163,1.017,54,752,426,"7,884","8,992",47,519,293,"8,133",805,"4,587","2,734","1,113","5,392","3,847","8,593",237,22,19,1,367,"2,441","2,130",27,253,49,247,785,"2,836","3,008",106,365,260,244,226,1,14,3,609,169,718,199,"10,459","4,361","3,879","2,210",10,59,27,"12,968",0,0,0,0,0,0,44,84,63,27,4,6.40%,8.57%,2.20%,2.38%,86.87,96.28,95.41,75.71,66.88,67.34,72.04,27.41,92.69,85.94,0.1482,33.92,89.58,91.46,70.45,86.02,,81.61,80.83,77.52,7.14,8.68,,82.06,,41.423997,-82.71644,
54,A1622,Morehouse Choice ACO-ES,"GA, SC",Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,0,1,0,0,0,Two-Sided,Retrospective,0,0,0,"9,141",5.90%,0.50%,"5,288,952","5,288,952",,"2,591,586",1,1,1,0,0,0,85.82%,0,1,"10,206","10,754","89,708,128","84,419,177",,,50.00%,50.00%,1,Low Revenue,"70,960","7,645","10,322","7,692","73,719","7,920","10,317","8,155","80,446","8,132","10,305","7,997","71,374","8,192","9,297","7,956","9,604",0.951,0.922,0.824,0.977,0.95,0.884,0.785,0.961,0.936,0.895,0.781,0.954,0.909,0.837,0.759,0.92,306,"3,851","1,861","5,555","8,790",193,"2,336","1,250","5,011","2,945","4,025","1,576",595,"5,242","3,899","5,031","3,680",75,197,5,153,"2,895","2,451",74,250,145,166,291,"2,887","2,753",201,413,295,280,249,3,13,15,750,204,557,187,"10,279",828,"3,491","1,093","4,867",22,26,"12,946",0,106,0,0,0,0,245,201,184,52,0,29.63%,8.06%,2.42%,0.93%,83.19,93.03,92.7,73.75,63.87,56.43,74.07,28.86,93.47,86.04,0.1934,30.82,84.65,62.87,90.48,91.49,,54.8,62.98,83.33,19.12,19.26,,63.84,,33.7270688,-84.3918992,
55,A1628,"Integral Healthcare, LLC",FL,Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,Prospective,0,0,0,"6,580",-3.56%,1.50%,"-2,598,027","-2,598,027","-1,039,211",0,1,1,1,0,0,0,88.98%,0,1,"11,427","11,307","73,057,534","75,655,562",,,75.00%,75.00%,0,Low Revenue,"94,722","8,248","16,746","9,265","79,397","8,587","18,237","9,973","83,575","9,091","15,155","10,704","79,753","9,598","18,111","11,359","11,833",1.027,1.087,1.058,1.176,1.071,1.014,1.136,1.193,1.009,1.019,1.082,1.199,1.091,1.058,1.152,1.321,40,777,293,"7,041","6,394",36,481,213,"5,665",527,"2,775","2,384",894,"3,751","2,829","6,072",202,47,66,2,191,"3,265","2,751",79,460,16,315,696,"1,510","5,382",107,669,285,331,304,3,22,2,638,267,834,234,"11,312","3,076","6,219","1,883",134,58,24,"12,026",0,0,0,0,0,0,123,49,92,40,0,6.60%,5.47%,2.29%,0.46%,85.97,91.99,90.06,81.94,59.4,55.42,71.22,20.87,91,84.14,0.1698,34.61,95.76,80.77,95.92,80.96,,75.9,73.81,84.4,10,11.64,,82.07,,28.4796956,-82.4840366,
56,A1638,"Millennium Accountable Care Organization, LLC",FL,Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,Prospective,0,0,1,"69,681",4.00%,2.00%,"33,415,517","33,415,517",,"24,560,405",1,1,1,0,0,0,90.90%,0,1,"12,217","11,743","834,374,172","800,958,655",,,75.00%,75.00%,0,Low Revenue,"84,958","10,638","17,924","10,136","81,788","10,287","18,066","10,245","83,590","10,859","18,102","10,776","89,356","10,874","19,234","11,335","11,728",1.046,1.097,1.05,1.089,1.04,1.072,1.077,1.118,1.064,1.099,1.097,1.169,1.091,1.238,1.238,1.32,163,"2,295","1,058","50,875","68,297",246,"2,221","1,101","64,730","2,381","31,627","26,676","8,997","38,521","31,160","65,343","1,302",329,428,39,"2,240","2,565","2,295",62,211,25,281,542,"1,713","5,883",90,560,395,246,231,2,10,3,507,189,946,367,"13,530","4,800","6,157","2,521",53,46,25,"11,821",0,0,0,0,0,0,314,127,281,101,0,2.60%,5.20%,1.49%,0.53%,84.17,92.27,91.93,75.81,63,63.07,71.92,26.65,92.19,84.43,0.155,29.6,100,91.14,100,90.32,,88.89,94,81.61,19.67,5.14,,86.44,,26.5473279,-81.8490312,
57,A1652,Billings Clinic,"MT, WY",Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,Prospective,0,0,0,"11,095",2.56%,2.93%,"3,055,279",0,,0,1,1,1,0,0,0,96.34%,0,1,"11,062","10,930","119,249,802","116,194,523",,,40.00%,40.00%,0,High Revenue,"71,793","9,995","12,647","8,924","68,814","11,232","14,072","9,717","72,153","12,973","15,634","9,813","73,127","12,675","17,324","9,911","10,779",1.007,1.11,1.065,1.082,1.102,1.119,1.146,1.087,0.997,1.161,1.152,1.08,0.978,1.141,1.147,1.039,27,954,553,"8,940","10,780",58,840,452,"9,429",920,"5,549","3,273","1,353","6,325","4,770","10,436",27,25,42,219,346,"2,751","2,531",80,135,32,335,666,"4,255","2,220",88,153,326,235,223,4,7,1,632,148,639,226,"7,466","2,457","2,737","2,076",196,45,23,"15,584",0,0,0,0,1,1,129,437,105,131,1,8.94%,28.10%,2.48%,2.33%,83.91,93.94,91.57,77.03,59.64,55.9,71.38,29.51,93.17,84.14,0.1484,31.51,96.8,96.95,100,91.96,,76.49,80.1,78.97,7.07,8.93,,69.88,,45.7895369,-108.5129947,
58,A1675,HHC ACO Inc,NY,Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,Prospective,0,0,0,"8,434",4.73%,3.16%,"5,451,716","5,451,716",,"4,007,011",1,1,1,0,0,0,79.54%,0,1,"14,045","12,327","115,242,245","109,790,529",,,75.00%,75.00%,0,High Revenue,"93,396","8,898","11,518","7,430","91,908","8,779","10,994","7,624","96,087","10,130","11,440","7,829","99,383","12,514","14,105","8,518","13,381",0.966,0.916,0.807,0.975,0.969,0.898,0.822,0.949,0.957,0.882,0.792,0.898,0.995,0.857,0.831,0.893,217,"2,371","3,811","3,172","8,205",151,"1,810","3,388","2,855","1,951","3,357","2,229",897,"5,073","3,361","2,535","3,589",503,"1,016",27,764,"5,003","3,928",115,281,740,133,"1,659","3,652","2,635",134,465,182,341,308,3,6,24,876,289,423,144,"10,203","3,112","4,676","1,128","1,287",53,36,"25,479",0,71,0,7,11,27,"1,311","3,780",737,522,0,59.25%,8.28%,2.77%,4.03%,76.38,89.46,90.3,78.94,61.99,57.33,72.09,18.82,87.77,80.13,0.1762,45.15,73.12,71.31,76.47,80.22,,68.32,67.79,89.62,25.42,14.88,,67.31,,40.7037027,-74.0099832,
59,A1694,Rainier Health Network,WA,Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,Prospective,0,0,1,"38,491",6.78%,1.00%,"27,820,134","27,820,134",,"13,631,866",1,1,1,0,0,0,97.98%,0,1,"10,894","10,467","410,473,403","382,653,269",,,50.00%,50.00%,1,High Revenue,"85,021","9,053","13,018","9,408","86,888","9,290","14,204","9,786","94,639","8,674","13,257","9,636","83,324","8,153","10,902","9,784","10,156",1.01,0.912,0.865,1.031,1.028,0.926,0.903,1.048,1.035,0.893,0.909,1.035,0.989,0.849,0.792,1.056,222,"3,226","1,535","32,356","37,678",225,"2,321","1,154","33,979","2,508","17,997","13,030","4,956","21,207","17,284","34,111","1,049","1,211",137,188,"1,795","2,689","2,528",15,113,47,218,560,"2,867","3,337",96,398,264,191,185,0,4,2,609,147,729,216,"9,146","3,291","3,786","2,020",50,35,26,"15,889",2,0,0,0,7,2,398,"1,092",308,345,0,5.46%,3.43%,0.94%,0.32%,81.12,91.79,89.88,74.48,59.94,60.49,71.47,20.49,92.86,85.52,0.1343,26.82,90.98,79.09,65.38,60.18,,81.25,78.98,89.02,3.8,11.24,,74.58,,47.2515929,-122.4407988,
60,A1702,"American Health Alliance, LLC","FL, GA",Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,Prospective,1,0,1,"8,807",5.91%,2.00%,"6,252,830","6,252,830",,"4,595,830",1,1,1,0,0,0,97.65%,0,1,"12,315","12,218","105,800,938","99,548,108",0,0,75.00%,75.00%,0,Low Revenue,"93,615","9,525","15,253","9,989","72,341","9,631","15,753","10,069","90,831","10,189","13,878","10,602","84,088","8,968","15,236","11,139","11,587",1.025,1.082,1.129,1.199,1.036,1.129,1.15,1.266,0.979,1.118,1.144,1.297,1.001,1.173,1.156,1.404,69,623,368,"8,355","8,591",50,441,289,"7,812",479,"3,618","3,472","1,238","5,129","3,678","7,816",571,95,84,5,236,"2,755","2,513",15,231,14,287,549,"1,701","5,656",115,517,316,299,284,1,12,2,616,244,819,333,"14,264","6,190","5,860","2,053",162,53,24,"11,456",0,0,0,0,0,0,43,3,27,3,0,5.47%,6.81%,2.32%,0.35%,87.79,93.51,91.46,79.45,61.3,59.02,68.09,25.36,92.34,85.9,0.1745,31.2,97.66,90.62,100,95.41,,90.91,91.29,79.85,23.73,8.45,,85.22,,29.1555019,-82.1666467,
61,A1722,Central Florida Physicians Trust,FL,Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,Prospective,1,0,1,"9,162",1.63%,3.08%,"1,742,848",0,,0,1,1,1,0,0,0,94.90%,0,1,"11,941","11,460","106,942,540","105,199,693",0,0,50.00%,50.00%,1,Low Revenue,"86,732","9,728","18,660","9,816","93,902","9,545","22,260","10,264","110,339","9,875","22,241","10,460","87,105","10,394","21,022","11,225","11,746",1.055,1.074,1.229,1.111,1.085,0.97,1.138,1.11,1.075,1.047,1.185,1.124,1.038,1.183,1.293,1.212,27,552,240,"8,418","8,956",43,394,177,"8,342",429,"4,420","2,929","1,384","5,517","3,645","8,092",535,103,102,3,327,"3,097","2,728",52,354,22,429,596,"1,852","5,101",78,627,334,307,287,2,16,3,552,244,847,330,"13,434","5,445","6,037","1,872",80,51,25,"11,872",0,0,0,0,0,0,47,12,38,34,0,3.33%,5.96%,1.70%,0.92%,84.85,95.12,93.71,74.88,64.08,64.2,73.43,22.93,91.73,84.65,0.1615,35.38,90.8,90.38,96,84.62,,83.85,82.91,85.22,38.89,7.64,,90.4,,28.6036053,-81.3056106,
62,A1736,Amarillo Legacy Medical ACO,TX,Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,Retrospective,0,0,1,"10,457",4.58%,2.97%,"4,955,369","4,955,369",,"2,428,131",1,1,1,0,0,0,98.10%,0,1,"10,623","10,326","108,268,717","103,313,348",,,50.00%,50.00%,1,Low Revenue,"64,308","9,258","12,535","8,702","56,104","9,110","12,147","9,067","68,880","10,733","13,641","9,671","81,405","9,326","11,401","9,739","10,137",0.953,1.069,0.864,0.951,0.911,0.985,0.784,0.96,0.895,1.002,0.875,0.965,0.946,0.979,0.815,0.957,53,492,202,"9,722","10,192",56,353,123,"9,661",687,"5,692","3,034","1,044","5,991","4,466","9,842",149,79,133,20,234,"2,330","1,777",77,425,35,141,282,"1,663","4,915",69,569,313,225,194,3,23,5,468,153,782,301,"13,907","5,991","5,901","1,981",33,32,19,"9,532",0,0,0,0,0,0,41,19,73,15,0,2.11%,10.04%,2.06%,0.08%,86.2,92.99,92.02,79.91,62.39,62.75,70.24,31.05,91.51,84.56,0.1328,29.5,79.97,79.14,72.34,76.05,,78.92,76.67,81.78,12.5,10.24,,74.41,,35.2017103,-101.9212431,
63,A1737,The Premier HealthCare Network LLC,"GA, SC, MD, FL",Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,Retrospective,0,1,0,"3,357",15.23%,4.80%,"5,421,657","5,421,657",,"2,125,290",1,1,1,0,0,0,61.69%,1,1,"10,933","11,401","35,589,056","30,167,399",0,0,40.00%,40.00%,0,Low Revenue,"85,155","8,959","15,257","7,949","74,767","9,324","12,461","8,275","93,399","8,019","15,682","8,274","71,903","6,638","13,430","8,094","9,267",1.003,0.93,1.004,0.996,0.968,0.867,0.881,0.929,1.0,0.908,0.909,0.933,0.949,0.821,0.898,0.943,81,896,383,"2,089","3,255",53,743,290,"2,170",904,"1,467",733,253,"1,817","1,540","1,301","1,883",56,42,2,73,"2,211","1,960",0,192,60,207,520,"2,179","3,556",246,398,257,230,214,1,8,6,590,193,591,212,"10,204","4,843","4,292","1,024",45,28,40,"18,202",0,0,0,0,0,0,48,31,32,12,0,21.09%,7.45%,2.65%,1.31%,84.08,93.31,90.72,83.49,61.44,64.7,69.69,27.29,91.48,82.66,0.1622,33.98,42.12,42.12,36.07,18.29,,26.96,27.35,79.79,0,49.04,,55.88,,33.7701137,-84.3824648,
64,A1749,"HARTFORD HEALTHCARE ACCOUNTABLE CARE ORGANIZATION, INC.","CT, FL",Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,Prospective,0,0,0,"26,011",2.56%,2.44%,"9,001,186","9,001,186",,"3,528,465",1,1,1,0,0,0,84.13%,0,1,"13,928","13,384","352,112,937","343,111,751",,,40.00%,40.00%,0,Low Revenue,"90,606","12,372","17,079","10,387","89,601","12,289","17,708","10,476","95,357","11,646","18,568","11,325","101,390","14,146","19,124","11,683","13,572",1.016,1.099,1.054,1.057,1.043,1.024,0.958,1.033,1.062,1.037,0.964,1.058,1.051,1.044,0.953,1.068,215,"2,323","3,435","15,737","25,281",182,"2,125","3,527","19,447","2,286","9,906","8,806","5,013","15,406","10,605","22,957","1,206",347,299,23,"1,179","3,707","3,454",37,131,104,379,"1,422","2,993","4,240",201,859,276,289,276,1,5,7,738,239,817,247,"12,129","3,311","5,138","3,641",40,100,26,"14,825",0,0,0,0,0,0,492,897,478,450,3,20.79%,5.62%,1.70%,3.53%,83.04,92.49,89.9,77.99,57.6,59.31,72.91,21.54,89.99,82.23,0.1576,37.41,80.59,85.98,65.22,48.92,,69.45,77.53,83.28,5.17,8.78,,77.56,,41.686137,-72.6543935,
65,A1761,"Paradigm ACO, LLC","FL, NY",Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,Prospective,0,0,1,"6,501",4.30%,1.00%,"3,192,652","3,192,652",,"2,346,599",1,1,1,0,0,0,97.44%,0,1,"11,661","11,648","74,265,014","71,072,362",,,75.00%,75.00%,0,Low Revenue,"80,596","10,358","18,848","10,137","71,431","11,027","20,745","10,202","78,095","10,531","20,603","10,807","72,890","8,924","27,869","10,669","11,159",1.087,1.274,1.265,1.289,1.033,1.332,1.438,1.297,0.999,1.375,1.27,1.29,1.046,1.42,1.523,1.532,42,410,110,"8,581","6,369",35,240,80,"6,014",263,"3,056","2,541",641,"3,471","3,030","6,068",196,39,28,1,169,"2,396","2,149",20,201,26,246,580,"1,643","5,713",91,450,280,249,234,1,10,4,625,193,867,311,"13,822","5,221","5,812","2,567",223,51,24,"11,307",0,0,1,0,0,0,68,45,44,23,0,2.79%,6.69%,1.69%,0.29%,77.51,88.26,86.45,75.28,59.92,58.38,74.48,20.11,81.08,78.68,0.1684,26.32,91.37,85.24,92.59,83.55,,84.73,90.28,90.51,60,6.72,,91.21,,,,
66,A1769,"Rio Grande Valley Health Alliance, LLC",TX,Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,Retrospective,1,0,1,"4,181",7.94%,4.35%,"4,278,837","4,278,837",,"3,144,945",1,1,1,0,0,0,100.00%,0,1,"13,334","13,757","53,889,798","49,610,961",0,0,75.00%,75.00%,0,Low Revenue,"71,639","9,931","13,263","8,614","73,201","9,906","12,924","9,108","71,814","10,775","13,545","9,063","78,984","9,172","12,155","9,600","12,276",1.052,1.07,1.092,1.098,1.043,1.138,1.103,1.091,1.006,1.127,1.102,1.082,1.043,1.158,1.226,1.234,222,882,"1,875","2,864","4,041",122,538,"1,000","2,381",706,"1,647","1,293",535,"2,370","1,811","3,179",22,24,817,2,137,"3,713","2,893",156,671,21,341,385,"2,730","4,160",298,777,364,328,284,5,35,4,639,249,575,156,"14,395","8,716","3,884","1,737",58,33,25,"11,945",0,0,0,0,0,0,23,0,21,24,0,35.05%,8.04%,2.30%,0.74%,84.46,93.23,91.41,74.71,65.65,57.77,75.26,25.51,87.77,83.74,0.1681,26.12,95.95,92.02,100,92.47,,81.05,80.56,86.07,15,14.4,,88.85,,26.2019432,-98.2314516,
67,A2000,"ProHealth Physicians ACO, LLC","CT, FL",Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,Retrospective,0,0,0,"18,084",4.60%,2.58%,"9,515,315","9,515,315",,"3,730,003",1,1,1,0,0,0,89.82%,0,1,"11,666","11,735","207,024,377","197,509,062",,,40.00%,40.00%,0,Low Revenue,"83,058","9,919","13,863","9,176","85,914","10,602","13,812","9,328","89,015","11,162","14,330","10,179","86,053","10,453","13,320","10,602","11,130",1.02,1.034,1.006,1.037,1.026,1.057,0.979,1.054,1.039,1.044,0.963,1.101,0.934,0.931,0.898,1.048,90,"1,944","2,369","17,822","17,746",72,"1,274","1,515","14,885","1,646","7,510","5,997","2,931","10,045","8,039","16,448",413,216,135,6,866,"2,915","2,700",52,104,75,148,844,"2,393","4,083",151,690,253,235,224,2,4,4,612,188,759,232,"10,561","3,666","4,703","2,181",11,65,22,"12,736",0,0,0,0,0,0,247,26,139,83,0,14.04%,3.95%,1.02%,0.24%,80.09,92.85,92.45,76.09,69.21,57.91,73.94,21.63,90.78,85.33,0.1613,34.46,99.34,91.19,58.33,96.52,,89.4,81.89,88.95,3.85,8.25,,81.7,,41.7316559,-72.7975396,
68,A2019,"Lancaster General Health Community Care Collaborative, LLC",PA,Renewal,3,1/1/2014,1/1/2020,0,0,0,0,0,0,0,0,1,0,Two-Sided,Retrospective,0,0,0,"24,430",3.51%,2.46%,"8,580,922","8,580,922",,"4,204,652",1,1,1,0,0,0,100.00%,0,1,"10,297","10,358","244,382,992","235,802,071",,,50.00%,50.00%,1,High Revenue,"75,133","9,196","13,198","8,921","83,246","9,864","14,949","9,048","86,584","10,019","15,634","9,440","85,214","10,369","13,071","9,349","9,936",1.015,0.954,1.021,1.031,1.016,0.973,1.005,1.029,1.074,0.984,1.044,1.047,1.005,0.965,1.04,1.047,153,"2,285",660,"20,575","23,732",128,"1,891",618,"21,096","2,653","11,530","6,841","3,406","13,938","10,492","22,922",364,154,192,7,791,"2,550","2,140",17,377,31,315,428,"2,934","3,220",89,324,274,229,207,1,18,3,469,168,748,254,"8,904","3,521","3,626","1,753",5,39,23,"11,060",0,0,0,0,1,2,283,706,272,231,0,5.75%,6.00%,1.90%,2.08%,83.77,94.94,92.72,78.96,64.02,59.34,74.84,23.56,94.17,87.46,0.1235,29.0,87.55,87.57,84.09,65.23,,86.81,83.53,76.18,10.47,8.1,,78.17,,40.0467971,-76.3072091,
69,A2021,"Covenant ACO, Inc.","TX, NM",Renewal,3,1/1/2014,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,Prospective,0,0,1,"14,432",3.84%,1.00%,"6,922,784","6,922,784",,"3,392,164",1,1,1,0,0,0,97.64%,0,1,"12,831","12,653","180,069,834","173,147,050",,,50.00%,50.00%,1,Low Revenue,"80,743","10,170","18,202","10,244","75,464","11,077","19,531","10,747","82,604","10,952","20,834","11,083","87,082","11,312","23,329","11,139","12,338",1.019,1.083,1.068,1.083,1.006,1.059,0.994,1.081,0.99,1.08,1.045,1.075,1.027,1.024,1.062,1.068,170,"1,174",725,"12,276","14,034",129,847,563,"12,494",964,"6,646","4,662","2,160","8,311","6,121","13,189",340,71,450,23,359,"2,899","1,991",186,721,28,688,625,"3,460","3,676",81,839,339,247,201,5,37,3,612,166,615,203,"11,850","4,104","5,103","2,103",540,49,29,"13,368",0,0,11,0,2,2,171,276,180,39,0,7.23%,9.54%,2.09%,2.28%,85.37,92.04,92.97,80.84,56.97,56.87,71.85,26.79,89.86,84.4,0.1333,24.13,82.92,82.5,77.27,59.3,,72.33,74.76,80.74,10.71,13.07,,72.24,,33.5771065,-101.8925584,
70,A2024,Delaware Valley ACO,"PA, NJ, DE",Renewal,3,1/1/2014,1/1/2020,0,0,0,0,0,0,0,0,0,1,Two-Sided,Retrospective,0,0,0,"73,679",0.46%,2.00%,"3,782,206",0,,0,1,1,1,0,0,0,90.75%,0,1,"11,326","11,328","814,651,852","810,869,646",,,75.00%,75.00%,0,High Revenue,"97,061","10,745","15,566","10,396","103,494","10,926","14,803","10,352","107,016","12,153","15,035","10,885","90,253","12,142","15,562","10,849","11,274",1.058,0.94,1.013,0.992,1.068,0.947,1.0,0.984,1.044,0.954,0.981,0.977,0.94,0.966,0.963,0.978,139,"5,867","3,268","64,558","71,926",146,"4,427","2,806","64,547","6,329","36,826","21,652","8,872","43,272","30,407","63,495","5,498",990,249,13,"3,434","2,902","2,625",24,218,59,232,594,"2,110","4,700",91,480,264,265,250,1,9,4,510,211,639,326,"10,383","3,554","5,831",996,2,52,20,"10,852",0,0,0,0,7,10,709,"1,399",427,276,0,6.74%,4.72%,1.43%,1.44%,83.94,94.82,94.15,75.37,63.25,63.42,74.23,20.72,91.3,88.33,0.17,41.2,95.31,85.89,87.5,73.47,,76.59,80.72,89.24,10,11.81,,78.31,,40.0416375,-75.3604381,
