ACO_Name,ACO_ID,year,ACO_State,Sav_Rate,MaxShareRate,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_HHA,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,P_EDV_Vis,P_EDV_Vis_HOSP,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,GenSaveLoss,FinalShareRate,P_SNF_ADM,QualScore,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO45,ACO46,ACO8,ACO38,ACO43,QualityID318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_236_WI,N_AB,N_PCP,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Other,N_Ben_Race_Hisp,N_Ben_Race_Asian,N_Ben_Race_White
NH Accountable Care Partners,A1021,2019,"NH, MA",1.11,,3534,3014,26,411,108,289,701,615,299,270,1,20,736,207,9843,2900,4063,0,0.46,56,92.17,87.4,94.57,92.42,80.44,63.5,63,78.17,20.98,94.1,87.63,15.29,64.16,2.15,88,76.52,72.73,77.97,79.75,78.57,78.79,4.41,9.22,78.67,37953,,188,97,1174,97,188,36337
NH Accountable Care Partners,A1021,2018,"NH, ME, MA",-0.08118729999999999,,3609,3116,22,371,118,265,714,628,308,281,1,18,734,215,9443,2895,4092,0,0.4376,57,87.52,85.18,93.57,90.86,78.79,65.42,70.91,74.83,22.16,,,15.1,60.85,2.02,84.01,71.58,66.67,73.37,79.69,81.25,85.53,2.74,8.29,71.5,54981,1043,183,142,1611,142,183,52719
"Arizona Connected Care, LLC",A1023,2019,AZ,2.86,,2887,2523,44,268,61,130,358,267,252,228,1,16,641,157,9284,1981,3964,1807914,0.49,34,98.09,82.93,94.33,92.51,78.72,63.78,66.17,70.81,23.76,92.89,85.65,14.47,50.47,1.56,80.2,66.55,86.49,78.3,65.1,73.04,71.15,5.65,15.25,70.33,13704,,320,652,487,652,320,11706
"Arizona Connected Care, LLC",A1023,2020,AZ,-2.04,,2692,2323,86,288,35,315,390,333,230,207,2,16,493,141,8887,2003,3815,0,0.39,31,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.73,68.93,71.63,75.27,67.49,58.22,72.09,76.85,2.44,21.68,62.94,10146,245,95,342,356,342,95,8827
"Arizona Connected Care, LLC",A1023,2021,AZ,-2.63,40.00%,"2,696","2,266",125,271,84,296,415,368,231,204,4,15,569,147,"9,846","2,066","4,423",0,40.00%,36,81.05,,,,,,,,,,,,,,,64.18,73.08,58.83,53.71,67.11,67.8,10.94,16.06,65.31,"9,039",257,102,288,337,288,102,"7,844"
"Arizona Connected Care, LLC",A1023,2018,AZ,1.2312154,,3140,2650,70,367,55,132,376,305,278,246,3,21,659,165,9553,2994,4180,0,0.4292,39,85.85000000000001,82.15,93.15,91.2,77.58,57.09,59.46,72.61,18.76,,,15.14,54.47,2.16,73.83,70.52,78.26,81.05,60.2,73.14,72.67,1.33,19,71.89,9817,258,99,413,324,413,99,8456
Atlantic ACO,A1026,2021,"NJ, PA",-0.86,50.00%,"3,337","2,971",16,321,67,198,852,372,250,232,1,13,484,197,"11,586","3,861","6,547",0,50.00%,52,92.13,,,,,,,,,,,,,,,87.07,72.22,62.29,83.06,75.99,77.78,4.35,13.79,72.11,"37,691",556,906,503,"2,108",503,906,"32,306"
Atlantic ACO,A1026,2019,NJ,0.77,,3631,3243,56,270,101,215,1053,421,292,271,1,12,585,223,11846,4430,6336,0,0.46,74,92.17,84.52,94.49,93.46,81.51,60.3,61.03,75.11,18.52,93.25,88.13,15.05,61.38,1.4,79.12,81.87,61.76,58.93,65.63,71.66,80.06,9.09,17.3,73.88,50330,,2716,789,2534,789,2716,42937
Atlantic ACO,A1026,2020,NJ,2.4,,3006,2664,30,275,74,301,983,373,249,231,1,12,440,199,10727,3774,5761,9463053,0.49,62,97.19,^,^,^,^,^,^,^,^,^,^,~,~,0.77,70.25,85,70.37,56.54,85.06,80.82,80.26,3.39,17.9,72.82,37348,499,751,448,1818,448,751,32322
Atlantic ACO,A1026,2018,NJ,0.7907546999999999,,3400,3038,36,266,89,161,995,409,276,255,1,12,555,208,11144,4013,6319,0,0.4517,70,90.34,88.28,93.52,91.86,81.68,62.92,63.19,75.19,19.93,,,14.6,58.98,1.52,69.03,70.35,75,58.8,55.9,61.02,76.45,3.45,14.04,80.71,56362,491,1436,635,2657,635,1436,48733
"Florida Physicians Trust, LLC",A1027,2019,FL,4.82,,4166,3665,163,312,65,452,956,965,417,388,4,16,811,329,14174,6576,5686,5907112,0.47,77,94.66,88.18,93.32,92.41,85.23,61.39,63.75,73.4,29.51,91.58,86.73,15.48,64.02,1.82,91.72,81.36,93.94,85.49,83.05,84.12,88.68,41.18,8.66,84.38,17401,,1842,551,697,551,1842,13981
"Florida Physicians Trust, LLC",A1027,2021,FL,4.82,50.00%,"3,317","2,899",104,321,33,484,776,803,342,319,3,15,658,273,"13,904","6,007","5,790","6,550,298",50.00%,58,91.44,,,,,,,,,,,,,,,90.13,90.32,81.93,82.94,78.21,84.41,18.75,9.21,77.07,"10,500",98,187,273,435,273,187,"8,628"
"Florida Physicians Trust, LLC",A1027,2020,FL,4.01,,3649,3269,106,274,35,564,936,867,363,342,3,13,668,300,12886,5615,5182,6802992,0.49,77,97.81,^,^,^,^,^,^,^,^,^,^,~,~,1.09,90.36,81.36,93.44,75.84,83.86,81.18,87.21,20.41,17.35,83.6,13205,119,214,393,516,393,214,10768
"Florida Physicians Trust, LLC",A1027,2018,FL,12.845050899999999,,3349,2993,38,263,62,320,744,794,360,338,1,12,739,279,12715,5958,5669,20029804,0.4291,60,85.82,90.3,93.23,91.48,82.9,57.84,60.22,72.6,31.24,,,15.63,64.88,1.75,80.69,77.4,86.21,71.31,77.45,74.58,88.49,15.15,19.86,78.88,12042,109,257,324,500,324,257,9527
"Premier ACO Physicians Network, LLC",A1032,2021,CA,5.08,40.00%,"4,010","3,394",242,368,89,635,"1,254","1,059",274,250,5,13,511,211,"11,978","4,258","6,975","4,748,154",40.00%,55,87.82,,,,,,,,,,,,,,,77.21,57.89,54.46,68.44,74.6,72.78,11.9,17.38,67.95,"6,013",134,447,403,471,403,447,"4,158"
"Premier ACO Physicians Network, LLC",A1032,2019,CA,1.7999999999999998,,4671,4057,243,311,120,277,1359,847,335,311,5,12,630,252,11630,4884,6376,0,0.46,70,92.17,84.11,95.07,92.43,82.67,58.29,58.51,72.18,22.9,91.87,85.11,16.05,63.68,1.65,75.94,75.25,84.38,65.85,75.57,80.68,75.05,7.69,21.18,71.65,8471,,785,753,722,753,785,5417
"Premier ACO Physicians Network, LLC",A1032,2020,CA,6.94,,4106,3516,299,347,99,617,1467,972,288,260,7,13,486,217,10810,4154,5956,6728881,0.39,65,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.61,57.71,54.39,75,46.37,67.85,73.32,74.96,2.33,19.31,71.97,6730,123,492,455,523,455,492,4616
"Premier ACO Physicians Network, LLC",A1032,2018,CA,5.0296935000000005,,4206,3611,218,348,91,250,1208,795,327,302,3,13,664,240,11198,4800,6136,5818439,0.4634,61,92.67999999999999,83.19,94.75,92.12,82.96,51.78,59.58,71.11,25.1,,,15.22,58.95,1.79,59.92,60.77,90.91,44.05,54.68,70.28,68.24,2.86,35.31,70.64,8644,138,719,757,659,757,719,5637
"Advocate Physician Partners Accountable Care, Inc.",A1033,2021,IL,4.75,50.00%,"3,283","2,956",49,271,43,357,826,590,294,277,1,11,572,236,"10,857","4,344","4,826","56,906,719",50.00%,62,89.00,,,,,,,,,,,,,,,87.85,92.59,90.43,71.07,77.26,89.91,2.56,10.76,79.14,"98,212","1,731","2,421","1,958","4,412","1,958","2,421","78,334"
"Advocate Physician Partners Accountable Care, Inc.",A1033,2020,IL,6.4,,2944,2633,63,240,47,355,766,552,282,266,2,10,518,223,9553,3977,4095,77622055,0.48,59,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.92,85.6,68.62,78.05,82.62,71.88,72.16,88.36,2.7,14.36,78.46,113033,1726,2578,2261,4820,2261,2578,91018
"Advocate Physician Partners Accountable Care, Inc.",A1033,2019,IL,3.8699999999999997,,3645,3289,64,276,60,372,977,651,339,319,2,13,650,255,10504,4270,4635,30325778,0.48,79,96.88,86.97,94.39,93.7,86.53,63.92,65.26,74.43,27.25,93.68,88.46,15.27,64.27,1.9,90.49,72.47,92.11,82.47,71.88,75.12,88.17,9.52,9.09,80.34,128289,,13886,2423,5084,2423,13886,104074
"Advocate Physician Partners Accountable Care, Inc.",A1033,2018,IL,2.5041364,,3591,3217,70,277,70,351,1043,701,343,321,2,14,646,256,10114,4160,4594,37495888,0.4265,85,85.31,83.8,94.31,92.55,81.91,61.0,64.44,74.82,28.94,,,15.28,66.38,2.03,84.41,67.15,88.1,80.17,69.17,70.46,84.04,0,14.76,78.95,127371,3703,2484,2420,4626,2420,2484,103438
"RGV ACO Health Providers, LLC",A1037,2019,"TX, NJ",9.25,,4389,3455,174,747,48,424,797,711,393,343,6,39,735,276,14001,7409,4842,6857825,0.74,60,98.29,86.62,95.59,92.91,78.09,66.17,60.15,71.33,27.95,93.29,85.92,15.15,52.87,1.44,94.89,93.38,93.33,83.9,80.69,80.2,92.9,38.1,7.69,87.33,10533,,290,1643,270,1643,290,8249
"RGV ACO Health Providers, LLC",A1037,2021,"TX, IA, MN",5.17,75.00%,"3,293","2,483",154,687,14,651,582,717,293,251,7,33,583,209,"13,455","7,428","4,378","6,099,456",75.00%,44,99.93,,,,,,,,,,,,,,,95.56,96.88,84.44,77.65,74.3,92.49,39.33,6.97,88.01,"9,624",51,43,"1,230",233,"1,230",43,"7,994"
"RGV ACO Health Providers, LLC",A1037,2020,TX,10.32,,3043,2397,134,518,20,503,640,699,290,255,6,27,537,207,13228,7593,4146,12728308,0.74,47,99.06,^,^,^,^,^,^,^,^,^,^,~,~,0.58,96.54,92.06,95,87.35,80.03,77.5,94.39,34.86,9.73,90.91,10354,48,41,1424,213,1424,41,8542
"RGV ACO Health Providers, LLC",A1037,2018,"TX, NJ",7.1174792,,4256,3308,253,709,61,435,878,660,389,338,7,38,730,268,13429,7111,4927,10912641,0.6769,57,90.25999999999999,85.88,92.89,90.59,78.03,67.63,64.73,71.85,26.23,,,15.58,56.55,1.62,98.21,94.66,93.33,90.23,82.08,81.38,91.78,17.61,10.85,85.3,11333,62,79,1905,307,1905,79,8667
"West Florida ACO, LLC",A1041,2018,FL,8.1079039,,3611,3128,113,351,52,321,1038,783,383,355,3,17,707,300,12685,5348,6156,17886860,0.6909,85,92.12,87.81,93.46,91.04,83.5,61.94,70.35,72.8,27.98,,,15.44,62.68,1.79,88.89,84.69,81.03,86.3,82.47,83.22,85.99,8.33,8.5,79.5,16934,118,237,146,486,146,237,15428
"West Florida ACO, LLC",A1041,2019,FL,8.19,,3629,3125,114,396,45,323,945,762,379,350,3,19,703,296,13326,5661,6262,9708607,0.72,80,96.5,86.89,92.01,90.49,85.02,63.92,66.52,73.42,22.96,91.92,86.55,15.51,57.05,1.63,92.3,91.31,82.22,86.41,80.23,82.7,88.33,31.25,8.51,82.5,17684,,624,154,533,154,624,16141
"West Florida ACO, LLC",A1041,2020,FL,9.77,,3026,2594,110,341,31,233,619,647,304,280,3,16,525,240,12300,5576,5630,20288220,0.73,50,96.88,^,^,^,^,^,^,^,^,^,^,~,~,0.8,91.58,87.11,89.47,85.22,77.25,75.45,88.51,9.8,11.66,80.69,17553,149,266,169,613,169,266,15753
"West Florida ACO, LLC",A1041,2021,FL,7.77,75.00%,"3,017","2,608",84,347,22,241,640,605,305,282,2,17,568,248,"13,186","5,642","6,118","16,121,349",75.00%,55,93.71,,,,,,,,,,,,,,,78.45,96.08,84.65,80.39,73.21,89.87,33.33,8.85,82.63,"16,941",165,285,175,645,175,285,"15,119"
"Coastal Carolina Quality Care, Inc.",A1051,2021,NC,8.92,75.00%,"2,400","2,173",24,197,9,279,383,312,211,198,1,11,442,157,"11,912","5,136","4,129","10,487,442",75.00%,29,100.00,,,,,,,,,,,,,,,93.7,94.12,89.58,90.83,93.47,91.23,31.58,5.32,88.84,"11,063",39,35,12,256,12,35,"9,565"
"Coastal Carolina Quality Care, Inc.",A1051,2019,NC,7.8,,2989,2813,29,144,15,286,449,296,247,236,1,9,530,179,12570,5570,4308,4897611,0.49,38,98.16,87.31,93.84,94.04,83.46,69.72,62.18,73.86,26.09,94.76,88.31,14.67,51.54,1.46,89.06,86.86,94.12,81.12,88.44,91.16,89.74,20.83,6.81,88.18,11646,,1414,15,222,15,1414,9960
"Coastal Carolina Quality Care, Inc.",A1051,2020,NC,9.28,,2615,2398,33,181,15,275,380,289,225,213,1,10,427,170,11799,5287,3966,10701474,0.75,31,99.38,^,^,^,^,^,^,^,^,^,^,~,~,0.86,94.9,91.5,100,89.6,91.96,91.92,92.31,25.32,5.07,89.49,11427,34,38,14,232,14,38,9817
"Coastal Carolina Quality Care, Inc.",A1051,2018,NC,5.8758683,,2998,2814,30,140,20,228,445,295,262,252,1,8,575,193,11454,4651,4387,7050157,0.4773,42,95.47,87.92,93.92,92.55,83.33,64.52,65.38,75.36,29.93,,,14.76,52.96,1.62,84.69,86.81,93.75,85.42,86.33,91.46,87.39,13.51,7.39,90.68,11569,33,27,14,196,14,27,9845
"Quality Independent Physicians, LLC",A1052,2021,"KY, IN",-1.28,50.00%,"2,818","2,434",78,306,27,372,808,444,283,260,3,16,651,196,"11,476","3,941","3,368","-877,620",50.00%,67,93.79,,,,,,,,,,,,,,,80.5,93.33,74.44,75.59,70.03,93.8,15.79,9.8,78.77,"6,809",45,20,10,166,10,20,"6,410"
"Quality Independent Physicians, LLC",A1052,2019,"KY, IN",6.069999999999999,,3115,2744,53,278,62,295,810,582,307,283,1,15,664,207,11509,5253,4124,2468910,0.46,77,92.17,93.5,96.55,94.4,83.25,62.12,64.1,74.5,32.73,93.24,88.27,15.42,54.02,2.17,91.1,87.08,84.48,84.43,82.64,78.31,89.92,8.51,9.89,78.43,7302,,641,14,215,14,641,6405
"Quality Independent Physicians, LLC",A1052,2018,"KY, IN",5.029469000000001,,2981,2583,54,299,74,232,796,586,308,283,2,16,653,212,10859,4878,3982,4055095,0.4841,79,96.83,89.81,95.59,95.17,80.65,66.39,61.36,72.72,28.96,,,14.84,59.12,2.2,90.96,86.54,94.44,84.51,88.04,86.34,91.25,5.08,9.21,80.07,7603,32,15,22,197,22,15,6701
"Quality Independent Physicians, LLC",A1052,2020,"KY, IN",3.6900000000000004,,2493,2201,30,212,51,275,805,582,251,234,1,10,589,166,10578,4428,3431,2409334,0.49,64,98.75,^,^,^,^,^,^,^,^,^,^,~,~,1.01,91.28,94,93.1,73.33,87.37,82.35,90.34,2.63,9.52,75.81,6885,35,18,12,183,12,18,6150
"Physicians Healthcare Collaborative, LLC",A1058,2020,NC,7.9,,2112,1977,6,111,29,106,279,307,175,167,0,5,378,119,9676,3125,3644,8665726,0.39,27,98.13,^,^,^,^,^,^,^,^,^,^,~,~,0.92,97.79,98.11,86,86.05,89.74,92.79,93.53,25,10.98,77.91,12305,56,42,18,345,18,42,10659
"Physicians Healthcare Collaborative, LLC",A1058,2018,NC,2.5985971,,2533,2399,19,96,28,142,394,355,220,211,0,5,520,148,9790,3014,4055,0,0.486,42,97.21,85.17,93.05,92.59,81.19,57.65,65.29,73.24,28.47,,,14.79,52.9,1.87,96.1,91.8,80,74.72,85.6,86.45,90.04,0,10.8,76.1,12826,57,38,25,315,25,38,10995
"Physicians Healthcare Collaborative, LLC",A1058,2019,NC,6.329999999999999,,2522,2367,14,118,35,98,390,332,212,203,0,6,499,144,10234,3349,4006,3869781,0.49,37,97.44,84.24,95.02,92.95,82.85,61.49,69.71,74.89,32.31,94.33,88.66,15.11,50.64,1.57,96.64,96.24,96.49,80.15,90.16,90.15,91.94,30.77,8.43,77.8,12739,,1353,23,334,23,1353,10968
"Optimus Healthcare Partners, LLC",A1059,2021,NJ,4.46,40.00%,"3,112","2,775",39,239,89,262,"1,077",429,253,237,1,10,486,211,"13,135","5,834","6,156","13,302,713",40.00%,65,80.91,,,,,,,,,,,,,,,76.55,71.43,45.09,66.94,66.45,72.57,14.71,14.66,72.86,"24,099",216,"1,436",716,"1,727",716,"1,436","18,226"
"Optimus Healthcare Partners, LLC",A1059,2018,NJ,0.42631220000000003,,3421,2991,84,316,90,161,1111,384,275,253,2,13,564,213,12147,5167,6143,0,0.4417,75,88.34,87.53,93.67,91.81,80.3,66.14,67.28,74.56,26.01,,,14.45,54.92,1.75,68.8,61.34,64.29,69.42,58.17,61.3,74.95,3.85,17.62,74.73,25763,171,747,1040,1355,1040,747,19716
"Optimus Healthcare Partners, LLC",A1059,2019,NJ,5.29,,3530,3136,109,233,101,293,1350,380,291,270,2,10,593,232,13894,6779,6067,4328273,0.46,85,92.41,91.54,95.77,94.09,84.51,59.43,61.84,76.61,26.97,93.3,85.4,14.55,50.85,1.44,64.81,72.54,69.44,53.3,56.31,66.33,75.32,5.13,15.61,70.61,12654,,1408,466,869,466,1408,9142
"Optimus Healthcare Partners, LLC",A1059,2020,NJ,7.06,,2635,2373,71,163,56,181,1115,347,232,218,1,8,427,190,12136,5967,5265,10885348,0.39,61,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.84,56.25,76.66,55.56,43.74,62.64,62.68,75.49,10.64,17.91,70.75,14563,118,839,632,1027,632,839,10221
Ascension Care Management Health Partners Tennessee,A1061,2021,"TN, KY",1.59,75.00%,"2,484","2,223",15,206,49,159,573,525,251,234,1,11,524,185,"10,122","3,514","4,370","5,839,856",75.00%,41,85.41,,,,,,,,,,,,,,,79.67,61.54,51.61,70.74,65,79.48,17.02,11.2,71.71,"37,612",500,191,105,"1,149",105,191,"32,740"
Ascension Care Management Health Partners Tennessee,A1061,2018,TN,0.1201484,,3011,2664,43,242,84,300,817,675,316,292,1,14,637,214,9549,3289,4254,383772,0.6991,71,93.21000000000001,88.95,96.19,94.65,85.1,55.85,62.56,70.65,26.52,,,15.38,59.61,2.51,91.25,66.39,30.77,44.28,78.09,68.55,79.69,8.33,15.32,72.9,31675,810,126,76,710,76,126,27695
Ascension Care Management Health Partners Tennessee,A1061,2019,TN,3.3300000000000005,,2993,2626,44,255,88,267,808,616,312,288,1,13,637,213,10094,3564,4252,5808028,0.69,69,92.17,87.76,94.53,94.01,83.94,61.03,63.14,73.03,28.1,94.1,87.83,15.02,60.53,2.38,92.34,/,85.71,60,71.37,70.56,77.78,10.94,8.06,77.11,33069,,2967,75,836,75,2967,29046
Ascension Care Management Health Partners Tennessee,A1061,2020,TN,3.02,,2595,2277,23,231,77,275,708,554,271,251,1,12,519,192,9244,3251,3841,9901310,0.74,52,98.75,^,^,^,^,^,^,^,^,^,^,~,~,1.28,91.53,79.15,70.59,50.41,77.91,77.1,84.28,5.48,9.68,73.05,34019,468,175,64,966,64,175,29822
Summa Accountable Care Organization,A1063,2020,OH,6.92,,2692,2203,112,362,37,188,412,417,280,251,4,20,656,201,8690,3566,3396,11669612,0.48,39,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.89,91.74,71.47,74.07,77.39,70.12,72.78,82.38,13.16,11.29,73.45,18447,240,96,21,640,21,96,16474
Summa Accountable Care Organization,A1063,2021,OH,5.70,50.00%,"2,728","2,260",83,339,57,185,469,442,287,258,3,19,613,214,"9,469","3,818","3,602","7,661,680",50.00%,42,89.95,,,,,,,,,,,,,,,84.55,82.14,84.12,75.36,73.05,84.19,10,9.42,82.71,"14,068",198,82,12,539,12,82,"12,538"
Summa Accountable Care Organization,A1063,2019,OH,5.59,,3085,2594,126,344,60,244,562,471,321,289,3,20,795,226,9358,3892,3780,5631261,0.49,53,97.72,88.08,94.74,92.25,81.87,61.82,65.72,72.96,30.8,93.76,87.27,14.42,58.98,1.7,91.38,70.93,69.7,72.3,67.95,72.06,87.3,15,14.5,82.88,19929,,1268,26,677,26,1268,17850
Summa Accountable Care Organization,A1063,2018,OH,5.3256907,,2941,2492,95,317,52,239,543,417,316,287,3,19,795,222,8991,3824,3743,10035092,0.4608,52,92.15,87.53,94.98,93.06,80.85,61.4,59.57,73.51,26.57,,,14.21,59.22,1.97,82.19,70.03,58.93,76.88,60,70.97,79.78,7.81,13.84,75.99,19532,804,82,23,597,23,82,17519
Essentia Health,A1066,2021,"MN, WI, ND",3.97,75.00%,"3,249","3,070",21,111,70,368,810,271,248,237,0,5,769,121,"8,555","2,072","2,407","13,817,854",75.00%,56,97.68,,,,,,,,,,,,,,,80.47,96.77,94.19,85.74,83.89,87.46,26.63,9.23,82.36,"28,910",736,56,43,639,43,56,"27,582"
Essentia Health,A1066,2019,"MN, WI, ND",2.5700000000000003,,3713,3502,46,129,83,363,834,241,312,299,1,5,910,147,8341,2285,2349,4103079,0.72,69,95.38,80.84,92.24,89.65,77.02,65.69,57.32,74.11,21.12,92.79,85.58,14.38,56.37,1.73,97.47,72.77,77.27,91.87,82.28,83.89,84.51,23.7,11.44,87.27,27638,,176,39,498,39,176,26272
Essentia Health,A1066,2018,"MN, WI, ND",0.31828809999999996,,3851,3604,22,130,118,325,860,259,332,318,1,6,924,159,8310,2678,2435,0,0.6713,74,89.5,81.98,91.94,90.89,79.73,66.34,58.19,72.86,21.98,,,15.12,58.49,2.03,98.28,67.43,51.85,93.42,86.04,80.5,85.05,6.82,13.1,85.02,26498,676,54,38,417,38,54,25287
Essentia Health,A1066,2020,"MN, WI, ND",4.89,,3104,2913,7,120,75,404,840,242,262,251,0,5,773,125,7573,1980,2197,14338616,0.74,60,98.75,^,^,^,^,^,^,^,^,^,^,~,~,1.04,94.41,72.95,92.05,94.89,86.22,81.88,87.08,18.78,14.81,83.75,26942,690,63,42,559,42,63,25621
"Allcare Options, LLC",A1070,2021,FL,14.47,50.00%,"5,488","4,637",212,500,186,"1,463","4,053",865,564,515,6,24,"1,129",481,"19,660","3,217","4,866","43,351,432",50.00%,278,83.47,,,,,,,,,,,,,,,57.75,81.94,72.18,62.86,63.07,69.25,28,22.46,70.22,"13,281",142,106,674,386,674,106,"10,523"
"Allcare Options, LLC",A1070,2019,FL,12.139999999999999,,6096,5186,311,468,193,1215,4582,954,623,568,8,22,1237,511,22469,4254,5108,22551303,0.46,292,92.59,87.23,92.23,89.68,84.74,60.08,67.49,75.44,27.15,90.49,85.01,15.08,61.81,1.53,92.55,70.04,80,79.03,65.55,74.71,81.78,21.43,19.72,67.1,15306,,2014,881,353,881,2014,11896
"Allcare Options, LLC",A1070,2018,FL,3.802995,,4131,3508,200,319,143,219,1066,902,428,388,5,16,979,328,12133,4142,5243,4260762,0.436,84,87.21,88.24,93.51,91.49,81.38,66.17,68.02,73.02,31.09,,,14.87,62.04,2.25,86.94,56.23,56.47,75.5,56.74,66.09,77.74,16.67,22.13,68.95,8316,210,72,536,238,536,72,6473
